kappa_scores_mean,maes_mean,train_loss_tr,validation_loss_tr,kappa_tr,mae_tr,train_loss_cc,validation_loss_cc,kappa_cc,mae_cc,train_loss_lr,validation_loss_lr,kappa_lr,mae_lr,train_loss_gra,validation_loss_gra,kappa_gra,mae_gra
-0.0012276220495741064,1.6216604,1.8405709940045443,0.9317240639480358,0.0,1.9304636,1.495838393950863,0.919548232168098,-0.0049104881982964255,1.8187164,1.5683589020914601,0.5215348073440824,0.0,1.3355817,2.2903354810995675,0.5525275792134468,0.0,1.4018798
0.0,1.1165953,0.7637086973639318,0.4238703201240169,0.0,1.1658804,0.5936271314672883,0.4573179399695843,0.0,1.2590361,0.5778713571220153,0.33440456191338963,0.0,0.9898734,0.8272504198752465,0.32273463446953354,0.0,1.0515913
0.01225054311247406,1.05215,0.6233758103412266,0.3193632499794237,0.0025669883989440923,0.9205664,0.44493100226106425,0.37921151037790957,0.031368258844120755,1.1228145,0.4493440433973596,0.3214560404103837,0.012576235333384478,1.0699289,0.6096494991823646,0.3597229678305208,0.0024906898734469163,1.0952904
0.05246046183194272,1.0071754,0.5873748800745365,0.28983193544976404,0.006588277307413626,0.8502567,0.399997424774326,0.3506197503392584,0.05431393429828346,1.0336463,0.4057655204475116,0.30201515000346285,0.1370433796695445,1.0297716,0.5519716033430212,0.376327933831284,0.011896256052529308,1.1150272
0.08031331689879309,1.0045098,0.5724774704485887,0.25481432807365356,0.0035262623112057856,0.8329445,0.3926452997524827,0.33945750999777535,0.03475556735488938,1.0294966,0.3643469796272187,0.28440015737219787,0.22466730848784067,0.9853819,0.4836239346215383,0.4043192948415621,0.05830412944123653,1.1702164
0.07633713357399544,1.0014464,0.4870799854094299,0.22912607585218245,-0.06930666222799187,0.85612226,0.35916895418972966,0.33741312632428755,0.024511890202862263,1.0802039,0.33442340761429734,0.28377945466758175,0.22670804664391386,0.978829,0.4328787944245884,0.3548855530247439,0.12343525967719748,1.0906304
0.27437904225897103,0.941101,0.3764792565353745,0.1959192566592892,0.18272472207745916,0.80299205,0.3020755319160805,0.3048704549230816,0.19234052610957586,1.019652,0.31213036497363356,0.25043632110134656,0.3800936362501688,0.9135021,0.39756905611891097,0.3341041553902367,0.3423572845986804,1.0282581
0.24502109010996248,0.9834924,0.34693821790809326,0.19088264130368113,0.1963092859585841,0.79699874,0.2794942058413715,0.32030869460728767,0.25442469337452656,1.0526139,0.2910888785743134,0.2792672998104697,0.31110742296004956,0.9592685,0.3769045718632777,0.3916456593374977,0.2182429581466897,1.1250886
0.26000158955398167,0.9691285,0.3160740947984708,0.1979798717984127,0.2241947854282974,0.7727869,0.2644135770970412,0.29319113590096907,0.2161179836046413,0.9732192,0.2779895771430844,0.30795379089402586,0.31358437588235655,0.99846655,0.3561282383727293,0.40770922427774403,0.28610921330063144,1.1320411
0.3189131781405363,0.9354012,0.30034128742103955,0.18722269579621714,0.2518871561399679,0.75609714,0.251239821905208,0.2683062053064392,0.36342527163819394,0.9290454,0.25947999509164144,0.27610123469708686,0.37187419254355036,0.9354225,0.3318465577931896,0.4132292342352485,0.2884660922404332,1.1210397
0.3153940321315488,0.9666975,0.28332402408321655,0.19065357957842802,0.22883976454374444,0.7702042,0.24384407259787064,0.28655291896793306,0.35281319998859495,0.971243,0.250651934067779,0.3523414153480431,0.3565658473242267,1.0344257,0.3203139184033845,0.396541067466055,0.3233573166696292,1.0909171
0.32461639430909417,0.94880414,0.2724637997776793,0.18375277621753464,0.2498137108061086,0.7502108,0.23492084223136173,0.2690015001019171,0.3708184189470711,0.9455172,0.2297230116514809,0.3180241975692413,0.36127819129461125,0.9998259,0.29351638060741525,0.40960425673466055,0.3165552561885858,1.0996624
0.3648818811172154,0.9285933,0.265475987531711,0.17558722492101214,0.3205168359601358,0.73780566,0.22720965189416611,0.27120910177515134,0.3644452950025794,0.9394751,0.22372548597980885,0.283923948899613,0.4410437150231159,0.9328823,0.28468900064927494,0.41279512508138744,0.3335216784830307,1.10421
0.3755638270351308,0.92266357,0.253814991782888,0.17280499994045578,0.33088120840877877,0.7393462,0.22051735144870807,0.2502771709104677,0.4076187085318631,0.89467466,0.20593323576501552,0.28154311389640646,0.4301249537837858,0.9288124,0.26365156460693834,0.42955971800226406,0.33363043741609577,1.1278208
0.3295118894608494,0.99172217,0.2470074155328804,0.20256943829199592,0.30822122746393354,0.79873717,0.21445433532918884,0.27018540210355085,0.3627501769705683,0.9345339,0.19806125740656047,0.3324169226557371,0.37382595863286927,1.0018233,0.2527519447575461,0.5036630637893638,0.2732501947760264,1.2317941
0.36964881035314356,0.96112883,0.23596060375791916,0.1739905125240372,0.38103716791909936,0.7434759,0.20778409424030647,0.2601328735416625,0.40098423932891125,0.9131551,0.18948138546768864,0.31519685161434424,0.39177157697169973,0.9794754,0.24137140516505404,0.4817203702978439,0.3048022571928639,1.2084087
0.37017212790836285,0.97733545,0.22694995452640304,0.1947233133168339,0.37187003624844106,0.76976603,0.2032142746245906,0.2607278628742146,0.4102331856225965,0.89792866,0.17829476653125864,0.3497745270594623,0.393260798224248,1.026447,0.22727565021084245,0.4872538670010969,0.30532449153816577,1.2152
0.3891721173934961,0.93838274,0.21989132203881778,0.17676274826489022,0.4092599843705286,0.73605317,0.19865176061131481,0.2560035761077664,0.44298495778415603,0.8935047,0.17443219386689496,0.2856715778057525,0.4139528526173417,0.93208003,0.22107191717991925,0.47555844634540084,0.2904906748019579,1.1918932
