train_loss,kappa_scores_mean,maes_mean,validation_loss_tr,kappa_tr,mae_tr,validation_loss_cc,kappa_cc,mae_cc
1.7179180250694468,0.00504126640596253,0.8779549,0.33887034360505913,0.002184708708287575,0.9096591,0.28790311591394563,0.007897824103637485,0.8462507
1.0428855430552177,0.04096163049355578,0.91233945,0.35253777688547544,0.02454100148090299,0.94953656,0.294857870839902,0.057382259506208566,0.8751424
1.0057888824401913,0.032983504954124,0.9837322,0.426527999055345,0.026288639888786713,1.0547514,0.32583653553052616,0.039678370019461284,0.9127131
0.8674459519227452,0.12571914649260013,0.9255724,0.38842202736065695,0.06600241177685906,0.9771727,0.29552584467840587,0.1854358812083412,0.87397206
0.8046484706773871,0.1514911148343303,0.9392655,0.38423118446571014,0.12644548897914487,0.9674181,0.33366003681805506,0.17653674068951575,0.91111296
0.7661986466078264,0.1624894732095804,0.95519745,0.3963544396851094,0.14744954344572836,0.98267287,0.35135667958361577,0.17752940297343245,0.9277221
0.7310494270509664,0.1963278461827928,0.9173025,0.40749543741540994,0.17607146758590553,0.9785041,0.29571436184033295,0.2165842247796801,0.8561009
0.6827278041263941,0.1914605646720438,0.93430406,0.4156762128700373,0.1671517069442242,1.0042135,0.30585461240633055,0.2157694223998634,0.86439466
0.6286755039898203,0.17174563317994906,1.0245643,0.5150804151362103,0.12522636821938915,1.1443521,0.34180469484252723,0.21826489814050898,0.9047764
0.5783243232089988,0.20540875325192187,0.9337516,0.4090613370591944,0.16143422042863909,0.9990435,0.3132552103359953,0.24938328607520466,0.86845964
0.5244012519920429,0.20140149763126303,1.0408758,0.5579866392915551,0.13081627465346823,1.1901093,0.33232098610643396,0.2719867206090578,0.8916423
0.47404296369379917,0.1661186946087711,1.1250534,0.6656072309542236,0.11251687433354196,1.3216969,0.36357168572935367,0.21972051488400024,0.92841005
