kappa_scores_mean,maes_mean,train_loss_tr,validation_loss_tr,kappa_tr,mae_tr,train_loss_cc,validation_loss_cc,kappa_cc,mae_cc,train_loss_lr,validation_loss_lr,kappa_lr,mae_lr,train_loss_gra,validation_loss_gra,kappa_gra,mae_gra
-0.0009637821715938744,1.6261107,1.8423936603414142,0.9362707156254353,0.0,1.9362301,1.497440969145917,0.9230862006706952,-0.0038551286863754974,1.8224559,1.5702156285564077,0.5239561402729861,0.0,1.3391821,2.2931045230332106,0.5557354459692269,0.0,1.4065748
0.0,1.1189688,0.7660542893350579,0.4279557635792783,0.0,1.1741279,0.5956122794676947,0.45993647975312324,0.0,1.262719,0.5800302181298279,0.33542881936096985,0.0,0.9881686,0.8310161783131442,0.3232943518708792,0.0,1.0508599
0.016262828473702085,1.0534123,0.6253340351160461,0.3205136044680363,0.0021121089325262243,0.9225235,0.445980201800523,0.3865682703654382,0.03120315377776617,1.1366569,0.45091592555733634,0.31985204321882976,0.029532752268227935,1.0673242,0.6122158835051299,0.3497378448794311,0.00220329891628801,1.0871449
0.03922976339508488,1.0308381,0.587086844089375,0.29649424463495094,0.007510439009856262,0.8560893,0.39894810163347066,0.3609015979701475,0.05826556950867523,1.0704563,0.40722085830283006,0.31035984370354475,0.08757824726676144,1.0502967,0.5570092842833674,0.39572373868206656,0.0035647977950465926,1.1465102
0.07166258422620184,1.0136828,0.5751050474166446,0.271520817566584,-6.186065714053335e-05,0.8329196,0.3930701803677278,0.3423252934180451,0.03902860473273606,1.024421,0.37057082351601445,0.29210494781675206,0.2036991594285632,1.0001634,0.49400895507761367,0.4225603658734858,0.043984433400648615,1.1972275
0.09368323328167288,0.99672115,0.5295487195418904,0.24320598189471856,-0.04468006379295386,0.8574562,0.37500773604769166,0.3501763565825232,0.0029444061293436574,1.1002514,0.3359593157038851,0.27946502364983045,0.25795393157457047,0.9687798,0.4402716177940757,0.337174978163103,0.15851465921573127,1.060397
0.23205387708487124,0.9480056,0.39780769913247593,0.19952247619813918,0.135666344263202,0.8159001,0.31373324902430383,0.3147866928972115,0.13027156096564674,1.0386302,0.3138470681390965,0.2522707928417263,0.3367805934446684,0.9129757,0.4033370439912499,0.33141752486240045,0.32549700966596784,1.0245163
0.19191375170825872,1.0123737,0.3527642509866306,0.20094651470237362,0.14728246228448283,0.8208579,0.28262672213627693,0.3260868142922185,0.15148173238818707,1.0643524,0.2932827873670692,0.30177295475473565,0.2640316835490433,1.0034475,0.3799118595609557,0.4149487528986593,0.20485912861132172,1.160837
0.2387954788044055,0.9753188,0.32327997244826634,0.20680969287494397,0.21197700697521926,0.79165435,0.2686490220967676,0.30347701795379917,0.12077342384494227,0.9887682,0.28020965667872005,0.3026760186454637,0.33077759747751034,0.98845893,0.35909713765546003,0.4121874942874514,0.2916538869199501,1.1323935
0.3011259884736094,0.94803834,0.3048710793506161,0.18687045792348017,0.24962595840120005,0.75462264,0.25408179163358957,0.2774034952653299,0.294077214291815,0.94488424,0.262567417006541,0.28405530275116914,0.37889057549684224,0.947154,0.3346530041221971,0.4323094978088304,0.28191020570458036,1.1454924
0.3313137270741272,0.9454955,0.2844959440023327,0.17356720004776138,0.2577896214471318,0.7472255,0.24422108864842507,0.2746107834904415,0.364450373150774,0.960633,0.2522697565529617,0.31522356652868144,0.3702645882810759,0.99234664,0.3228604386164102,0.3891217575533305,0.33275032541752725,1.0817766
0.3333852795005626,0.9353031,0.2732950292076878,0.18894013772880974,0.2535313707701988,0.76109445,0.23524477001491198,0.2714873052327915,0.36521424171295913,0.9518832,0.23147553057173734,0.28489984718401445,0.37310871227429043,0.9556295,0.29605302633969405,0.38704105132426614,0.3416867932448022,1.0726051
0.3533885818919368,0.9282628,0.2633283613003431,0.17785703312977572,0.28608265267412225,0.7496359,0.22678987223453312,0.27821123559534766,0.3413980354694882,0.9556744,0.2260138291032687,0.273324594842111,0.4481268141843575,0.916997,0.286608449426667,0.4036965589725595,0.33794682523977937,1.0907439
0.3560399819184949,0.9404987,0.25370774613718877,0.17577559117804029,0.3059364314056272,0.74709463,0.2217176818557645,0.2513645891306379,0.3871816555353208,0.90187794,0.20876640035387833,0.2862965013779819,0.4244642943806378,0.94043016,0.26749643902045694,0.46215081194861835,0.30657754635239365,1.172592
0.33669310098318395,0.9869175,0.24299136916659528,0.20338441890197534,0.33539587811748794,0.79271114,0.21377553900113805,0.2762480908364011,0.3467969007833688,0.94202447,0.1978147772981495,0.3375595155399942,0.3744602566384435,1.0081582,0.25292417525997923,0.48238406333045153,0.29011936839343555,1.2047763
0.3474591935038901,0.9847716,0.23434730461109377,0.18659846981109515,0.3326184992044082,0.7711226,0.20737314073609342,0.27478177565647666,0.36657408972794336,0.9401984,0.19048369880195973,0.3319205583313618,0.3870848023400184,1.0040729,0.244062348264443,0.49790629926458024,0.3035593827431905,1.2236924
0.36246072808107155,1.0020626,0.22711824033071948,0.19810184625165794,0.38208441249074865,0.77342206,0.2036163910207047,0.2614757114249502,0.39459838161955196,0.9083716,0.1786655032724343,0.3695667723084878,0.38787062469723066,1.0531859,0.22812543958061351,0.5246200511570244,0.2852894935167548,1.2732705
0.3747684257427836,0.9562299,0.21793328701681733,0.1912046648249747,0.3793188913966641,0.7670714,0.19756470999810058,0.26605004783328556,0.40296183999231816,0.9185847,0.17278733432164928,0.29892618207967286,0.4168958338868066,0.9510146,0.2190546443296752,0.47148663545604574,0.29989713769534554,1.188249
