train_loss,kappa_scores_mean,maes_mean,validation_loss_tr,kappa_tr,mae_tr,validation_loss_cc,kappa_cc,mae_cc,validation_loss_lr,kappa_lr,mae_lr,validation_loss_gra,kappa_gra,mae_gra
"[2.6958469192256143, 2.1996309801965324, 2.652487730454365, 4.1650028722029155]",0.0,1.0584197,0.4546079897577367,0.0,1.0214742,0.4639372174769157,0.0,1.0861282,0.4163588833182534,0.0,1.0767415,0.4296731145739089,0.0,1.0493345
"[0.7507645433803611, 0.5649941323130413, 0.5465674348724959, 0.7400500614469698]",0.0,1.0125246,0.3349183482987845,0.0,0.82380396,0.4269421183076766,0.0,1.0135953,0.4369047793714343,0.0,1.1275896,0.4414026709060019,0.0,1.0851097
"[0.7409663297277564, 0.5595809093725602, 0.5367338632268355, 0.7127571205795136]",0.07192962044914727,0.9874319,0.3423524740240039,0.04584991967946794,0.8755415,0.4001464500915011,0.02472109609122064,1.0096554,0.37755997198263713,0.17966130957236426,1.0346855,0.4023745422459235,0.03748615645353626,1.0298452
"[0.6954075678222442, 0.5313997706840697, 0.4895646201329013, 0.6459065617129209]",0.15317656154198117,0.93972445,0.31572283518720834,0.1365170753767967,0.83783156,0.3728046756406414,0.005723438532105551,0.9791158,0.33502945544634405,0.260592355727407,0.95919234,0.3752398475912978,0.20987337653161542,0.982758
"[0.6602037943984451, 0.5076236465793085, 0.46118398112621795, 0.5865878416891847]",0.28715412657297135,0.94701624,0.3363682462007657,0.22350738850519614,0.85963225,0.3781530643189133,0.2695113936921856,0.9929323,0.34182086773529075,0.31718630199308706,0.95263535,0.3902760438908406,0.3384114221014165,0.982865
"[0.4766368677073968, 0.43084330729409254, 0.42696312328132136, 0.5251182140726425]",0.39031840331056245,0.89026207,0.3617726968629458,0.2401904664850204,0.83469826,0.36260806757888026,0.3486125217988656,0.94322443,0.28724044199893434,0.5220453458680984,0.85837626,0.36084606757105364,0.4504252790902653,0.92474943
"[0.4015918404661315, 0.3873260675300569, 0.38091623914932443, 0.4692943203108676]",0.43852683687315436,0.87144786,0.275392879898019,0.40552991955620077,0.7647214,0.32936768166308567,0.37729596459495685,0.9112877,0.3011169540042515,0.5196029751464295,0.8745091,0.36768331833895923,0.4516784881950302,0.93527323
"[0.36412050301813764, 0.35674606733114345, 0.35066049803540267, 0.4333066126043599]",0.34679995666360236,0.9505529,0.2771195154855743,0.3699714408280106,0.7841135,0.33617461300749163,0.29033554195746036,0.91176236,0.411582422129864,0.39519256403600467,1.0110749,0.49588966276340474,0.3317002798329338,1.0952609
"[0.34621740814959384, 0.3414028141369079, 0.32010050015214064, 0.4055455361934113]",0.3760824423654515,0.93542886,0.30745373887846494,0.34277524474623555,0.82722515,0.36812699917243674,0.34641766001591623,0.9559062,0.3549123448056839,0.4518468607119044,0.9322304,0.4415097211811914,0.3632900039877498,1.0263537
"[0.3266841703610548, 0.3207417543588249, 0.29113183035224527, 0.3786212467843009]",0.38830924342839057,0.9968922,0.32919375101169973,0.3884121155035962,0.82048607,0.3808901117726236,0.43369661136405346,0.95075536,0.4626061059763606,0.39190420725076425,1.0716149,0.5437236775760214,0.33922403959514813,1.1447124
"[0.312815857336836, 0.3085840935094579, 0.2692945228188476, 0.3506510141329599]",0.41360438591798465,0.907809,0.3036535799236788,0.38169843317197827,0.8108475,0.3548281357533576,0.3593480575780672,0.9290026,0.3411700918129398,0.4916035523164469,0.9143316,0.40136477770986606,0.4217675006054461,0.97705424
"[0.2980575666007687, 0.29390209290454183, 0.2510785253880705, 0.32932121350147875]",0.37832164844664656,0.96880263,0.3385446845585571,0.35092308255248716,0.82778406,0.3891358579617762,0.3512769217719893,0.9649622,0.39492937166175074,0.43719282660758607,0.97934246,0.5083672339653689,0.3738937628545236,1.1031218
"[0.28462448328048406, 0.28655146975503787, 0.23223946121590244, 0.3053254659166278]",0.3739153709107801,0.9995401,0.31236586616884204,0.39814310600295477,0.80954576,0.37620977448510884,0.39122717639238214,0.95488125,0.4253092965245447,0.4075706339258286,1.0265075,0.5860502677899356,0.29872056732195496,1.2072258
"[0.2749719176487082, 0.2779843212567855, 0.21619512263063367, 0.2855305482150767]",0.36007811441336557,1.0020322,0.3035896918905588,0.36586175675257726,0.81217754,0.3953699314974086,0.31965717197301113,0.99396753,0.4251547434631175,0.41416403121083134,1.0168519,0.5819923035787963,0.34062949771704254,1.1851314
"[0.26733032111398597, 0.26876275734622745, 0.20287742383346435, 0.26885961646071094]",0.4452069658488719,0.9452382,0.35282573482056045,0.3737096645729877,0.8336653,0.3811688058332333,0.454581162416001,0.9333497,0.3565009185860049,0.5227524914709154,0.9349534,0.47751774416081794,0.4297845449355837,1.0789843
"[0.25744414968968093, 0.2621987738122052, 0.1919930558779995, 0.25304299432841854]",0.34630041839340553,1.0363492,0.3416516978424844,0.33069175454448363,0.8730149,0.42085469047272916,0.31010466803446457,1.0234809,0.43371338140304827,0.415547749441715,1.0284494,0.6029336548437947,0.3288575015529588,1.2204515
"[0.24556941463576296, 0.2504450719895144, 0.18299308789190444, 0.23856118486951203]",0.40301940721957696,0.9438255,0.32890033566998395,0.35786357774951594,0.8206901,0.3708838514271497,0.35601896494445184,0.94387126,0.3712160304613524,0.48912423456663257,0.9461165,0.48266872855256293,0.4090708516177074,1.064624
